District,Cows,Buffaloes,Daily_dung_t_per_day,Annual_dung_t,Biogas_m3_per_year,Energy_MWh_per_year
722.0,71160,137620,3055.84,1115381.6,50192172.0,291114.6
723.0,105374,277555,5705.368,2082459.3,93710669.0,543521.9
724.0,38412,152521,2901.28,1058967.2,47653524.0,276390.4
725.0,42988,114100,2341.456,854631.4,38458415.0,223058.8
726.0,108800,233890,5047.84,1842461.6,82910772.0,480882.5
727.0,63916,112204,2562.256,935223.4,42085055.0,244093.3
728.0,169527,425846,8847.86,3229468.9,145326101.0,842891.4
729.0,62574,180459,3638.232,1327954.7,59757961.0,346596.2
730.0,116624,393606,7697.184,2809472.2,126426247.0,733272.2
731.0,91943,281887,5613.508,2048930.4,92201869.0,534770.8
732.0,155195,200645,5072.66,1851520.9,83318440.0,483247.0
733.0,101938,139058,3448.184,1258587.2,56636422.0,328491.2
734.0,51113,187207,3608.668,1317163.8,59272372.0,343779.8
735.0,29810,174347,3147.272,1148754.3,51693943.0,299824.9
736.0,49684,199491,3788.064,1382643.4,62218951.0,360869.9
737.0,32381,56028,1285.02,469032.3,21106454.0,122417.4
738.0,74761,165167,3539.804,1292028.5,58141281.0,337219.4
739.0,44310,160423,3098.488,1130948.1,50892665.0,295177.5
740.0,64075,174156,3555.396,1297719.5,58397379.0,338704.8
741.0,235362,250695,6835.464,2494944.4,112272496.0,651180.5
742.0,111458,224980,4937.176,1802069.2,81093116.0,470340.1
743.0,107277,126138,3305.532,1206519.2,54293363.0,314901.5
,1928682,4368023,,,,
